Latitude,Longitude,RowID,IncidentNumber,ArrestNumber,Age,Sex,Race,ArrestDateTime,ArrestLocation,IncidentOffence,IncidentLocation,Charge_CJIS,ChargeDescription,District,Post,Neighborhood,GeoLocation,Shape,geometry,longitude,latitude,address_test,c_cjisid,c_chargeid,c_cjiscode,c_class,c_describe35,c_describe70,Detail,c_date_begin,c_date_end,c_article,c_section,c_subsec,c_paragraph,c_felony,c_jailable,c_phrqd,c_maxfine,c_timetype,c_timeamt,c_ruleno,c_description,c_notes,c_mod_date,c_new_date,describe_test,Charge
39.3143,-76.5756,235441,24E04264,24079752,22.0,Male,Black,2024-05-14 22:00:00+00:00,3000 SINCLAIR LN,Unknown Offense,3000 SINCLAIR LN,1 0826,ROBBERY,Eastern,324,Four By Four,"(39.3143,-76.5756)",,POINT (-76.5756 39.3143),-76.5756,39.3143,True,428.0,428.0,10826.0,,ARMED CARJACKING,ARMED CARJACKING,ARMED CARJACKING,1970-01-01,2002-09-30,27,348A,,,Y,Y,Y,0.0,Y,30.0,,"did obtain unauthorized possession and control of  a motor vehicle, to wit: _____ (describe) from _____ (name of victim) who was then and there in actual possession of the motor vehicle by [force, violence, and employing and displaying a dangerous and deadly weapon/placing said individual in fear through intimidation, threat of force and violence, and employment and display of a  dangerous and deadly weapon].",,2002-09-09,1998-11-10,True,Armed Carjacking/Attempted
39.3143,-76.5756,235441,24E04264,24079752,22.0,Male,Black,2024-05-14 22:00:00+00:00,3000 SINCLAIR LN,Unknown Offense,3000 SINCLAIR LN,1 0826,ROBBERY,Eastern,324,Four By Four,"(39.3143,-76.5756)",,POINT (-76.5756 39.3143),-76.5756,39.3143,True,7204.0,11830.0,10826.0,,ARMED CARJACKING,ARMED CARJACKING,ARMED CARJACKING,2002-10-01,,CR,3,405,(c)(1),Y,Y,Y,0.0,Y,30.0,,"...did obtain unauthorized [possession/control] of a motor vehicle, to wit: _____ (describe) from _____ (name of victim) who was then and there in actual possession of the motor vehicle by [force/violence/placing said individual in fear through intimidation/threat of force/threat of violence] and [employ/display] a dangerous weapon during the commission of the carjacking.",,2014-02-10,2002-09-09,True,Armed Carjacking/Attempted
39.3505,-76.5823,243683,24E01567,24074929,16.0,Male,Black,2024-05-06 16:30:00+00:00,5200 PERRING PKWY,Unknown Offense,5200 PERRING PKWY,1 0826,ARMED CARJACKING,Northeast,413,Perring Loch,"(39.3505,-76.5823)",,POINT (-76.5823 39.3505),-76.5823,39.3505,True,428.0,428.0,10826.0,,ARMED CARJACKING,ARMED CARJACKING,ARMED CARJACKING,1970-01-01,2002-09-30,27,348A,,,Y,Y,Y,0.0,Y,30.0,,"did obtain unauthorized possession and control of  a motor vehicle, to wit: _____ (describe) from _____ (name of victim) who was then and there in actual possession of the motor vehicle by [force, violence, and employing and displaying a dangerous and deadly weapon/placing said individual in fear through intimidation, threat of force and violence, and employment and display of a  dangerous and deadly weapon].",,2002-09-09,1998-11-10,True,Armed Carjacking/Attempted
39.3505,-76.5823,243683,24E01567,24074929,16.0,Male,Black,2024-05-06 16:30:00+00:00,5200 PERRING PKWY,Unknown Offense,5200 PERRING PKWY,1 0826,ARMED CARJACKING,Northeast,413,Perring Loch,"(39.3505,-76.5823)",,POINT (-76.5823 39.3505),-76.5823,39.3505,True,7204.0,11830.0,10826.0,,ARMED CARJACKING,ARMED CARJACKING,ARMED CARJACKING,2002-10-01,,CR,3,405,(c)(1),Y,Y,Y,0.0,Y,30.0,,"...did obtain unauthorized [possession/control] of a motor vehicle, to wit: _____ (describe) from _____ (name of victim) who was then and there in actual possession of the motor vehicle by [force/violence/placing said individual in fear through intimidation/threat of force/threat of violence] and [employ/display] a dangerous weapon during the commission of the carjacking.",,2014-02-10,2002-09-09,True,Armed Carjacking/Attempted
0.0,0.0,317121,24B09332,24034128,16.0,Male,Black,2024-02-29 17:30:00+00:00,6000 WESTWOOD AVE,Unknown Offense,6000 WESTWOOD AVE,1 0826,ARMED CARJACKING,,,,"(0,0)",,POINT (0 0),0.0,0.0,True,428.0,428.0,10826.0,,ARMED CARJACKING,ARMED CARJACKING,ARMED CARJACKING,1970-01-01,2002-09-30,27,348A,,,Y,Y,Y,0.0,Y,30.0,,"did obtain unauthorized possession and control of  a motor vehicle, to wit: _____ (describe) from _____ (name of victim) who was then and there in actual possession of the motor vehicle by [force, violence, and employing and displaying a dangerous and deadly weapon/placing said individual in fear through intimidation, threat of force and violence, and employment and display of a  dangerous and deadly weapon].",,2002-09-09,1998-11-10,True,Armed Carjacking/Attempted
0.0,0.0,317121,24B09332,24034128,16.0,Male,Black,2024-02-29 17:30:00+00:00,6000 WESTWOOD AVE,Unknown Offense,6000 WESTWOOD AVE,1 0826,ARMED CARJACKING,,,,"(0,0)",,POINT (0 0),0.0,0.0,True,7204.0,11830.0,10826.0,,ARMED CARJACKING,ARMED CARJACKING,ARMED CARJACKING,2002-10-01,,CR,3,405,(c)(1),Y,Y,Y,0.0,Y,30.0,,"...did obtain unauthorized [possession/control] of a motor vehicle, to wit: _____ (describe) from _____ (name of victim) who was then and there in actual possession of the motor vehicle by [force/violence/placing said individual in fear through intimidation/threat of force/threat of violence] and [employ/display] a dangerous weapon during the commission of the carjacking.",,2014-02-10,2002-09-09,True,Armed Carjacking/Attempted
39.3491,-76.6659,332616,24B04452,24024843,35.0,Male,Black,2024-02-14 17:00:00+00:00,2800 OAKLEY AVE,Unknown Offense,2800 OAKLEY AVE,1 0826,CARJACKING,Northern,517,Cylburn,"(39.3491,-76.6659)",,POINT (-76.6659 39.3491),-76.6659,39.3491,True,428.0,428.0,10826.0,,ARMED CARJACKING,ARMED CARJACKING,ARMED CARJACKING,1970-01-01,2002-09-30,27,348A,,,Y,Y,Y,0.0,Y,30.0,,"did obtain unauthorized possession and control of  a motor vehicle, to wit: _____ (describe) from _____ (name of victim) who was then and there in actual possession of the motor vehicle by [force, violence, and employing and displaying a dangerous and deadly weapon/placing said individual in fear through intimidation, threat of force and violence, and employment and display of a  dangerous and deadly weapon].",,2002-09-09,1998-11-10,True,Armed Carjacking/Attempted
39.3491,-76.6659,332616,24B04452,24024843,35.0,Male,Black,2024-02-14 17:00:00+00:00,2800 OAKLEY AVE,Unknown Offense,2800 OAKLEY AVE,1 0826,CARJACKING,Northern,517,Cylburn,"(39.3491,-76.6659)",,POINT (-76.6659 39.3491),-76.6659,39.3491,True,7204.0,11830.0,10826.0,,ARMED CARJACKING,ARMED CARJACKING,ARMED CARJACKING,2002-10-01,,CR,3,405,(c)(1),Y,Y,Y,0.0,Y,30.0,,"...did obtain unauthorized [possession/control] of a motor vehicle, to wit: _____ (describe) from _____ (name of victim) who was then and there in actual possession of the motor vehicle by [force/violence/placing said individual in fear through intimidation/threat of force/threat of violence] and [employ/display] a dangerous weapon during the commission of the carjacking.",,2014-02-10,2002-09-09,True,Armed Carjacking/Attempted
39.2937,-76.6222,556,24E08759,24086484,18.0,Male,Black,2024-05-27 19:43:00+00:00,400 MULBERRY ST,Unknown Offense,400 MULBERRY ST,2 0705,ARMED ROBBERY,Central,112,Downtown,"(39.2937,-76.6222)",,POINT (-76.6222 39.2937),-76.6222,39.2937,True,6706.0,11292.0,20705.0,,ARMED ROBBERY,ARMED ROBBERY,ARMED ROBBERY,2000-10-01,2002-09-30,27,488,,,Y,Y,Y,0.0,Y,20.0,616 1/2,"...did unlawfully and feloniously, with a dangerous and deadly weapon,  rob _________ (victim)and violently did steal from said person ________ (items taken).","NOTE:Weapon means any actual weapon or any instrument that the victim reasonably perceives to be a dangerous and deadly weapon, that could inflict death or grevious bodily harm.

If an actual handgun is involved, armed robbery and a separate charge of use of a handgun in the commission of a crime of violence under Art. 27, Sec. 36B(d) should be placed.",2014-04-07,2000-09-18,True,Armed Robbery/Conspiracy
39.2937,-76.6222,556,24E08759,24086484,18.0,Male,Black,2024-05-27 19:43:00+00:00,400 MULBERRY ST,Unknown Offense,400 MULBERRY ST,2 0705,ARMED ROBBERY,Central,112,Downtown,"(39.2937,-76.6222)",,POINT (-76.6222 39.2937),-76.6222,39.2937,True,7201.0,11827.0,20705.0,,ARMED ROBBERY,ARMED ROBBERY,ARMED ROBBERY,2002-10-01,,CR,3,403,,Y,Y,Y,0.0,Y,20.0,616 1/2,"...did unlawfully and feloniously, [with a dangerous weapon/by displaying a written instrument claiming that the person had a dangerous weapon], [rob/attempt to rob] _____(victim)and violently did [steal/attempt to steal] from said person ________ (item(s)).","NOTE:Weapon means any actual weapon or any instrument that the victim reasonably perceives to be a dangerous and deadly weapon, that could inflict death or grevious bodily harm.

If an actual handgun is involved, armed robbery and a separate charge of use of a handgun in the commission of a crime of violence under CR 4-203 should be placed.",2009-01-12,2002-09-09,True,Armed Robbery/Conspiracy
39.239,-76.6025,560,24E08680,24086422,17.0,Male,Black,2024-05-27 17:39:00+00:00,500 MAUDE AVE,Unknown Offense,500 MAUDE AVE,2 0705,ARMED ROBBERY,Southern,916,Brooklyn,"(39.239,-76.6025)",,POINT (-76.6025 39.239),-76.6025,39.239,True,6706.0,11292.0,20705.0,,ARMED ROBBERY,ARMED ROBBERY,ARMED ROBBERY,2000-10-01,2002-09-30,27,488,,,Y,Y,Y,0.0,Y,20.0,616 1/2,"...did unlawfully and feloniously, with a dangerous and deadly weapon,  rob _________ (victim)and violently did steal from said person ________ (items taken).","NOTE:Weapon means any actual weapon or any instrument that the victim reasonably perceives to be a dangerous and deadly weapon, that could inflict death or grevious bodily harm.

If an actual handgun is involved, armed robbery and a separate charge of use of a handgun in the commission of a crime of violence under Art. 27, Sec. 36B(d) should be placed.",2014-04-07,2000-09-18,True,Armed Robbery/Conspiracy
39.239,-76.6025,560,24E08680,24086422,17.0,Male,Black,2024-05-27 17:39:00+00:00,500 MAUDE AVE,Unknown Offense,500 MAUDE AVE,2 0705,ARMED ROBBERY,Southern,916,Brooklyn,"(39.239,-76.6025)",,POINT (-76.6025 39.239),-76.6025,39.239,True,7201.0,11827.0,20705.0,,ARMED ROBBERY,ARMED ROBBERY,ARMED ROBBERY,2002-10-01,,CR,3,403,,Y,Y,Y,0.0,Y,20.0,616 1/2,"...did unlawfully and feloniously, [with a dangerous weapon/by displaying a written instrument claiming that the person had a dangerous weapon], [rob/attempt to rob] _____(victim)and violently did [steal/attempt to steal] from said person ________ (item(s)).","NOTE:Weapon means any actual weapon or any instrument that the victim reasonably perceives to be a dangerous and deadly weapon, that could inflict death or grevious bodily harm.

If an actual handgun is involved, armed robbery and a separate charge of use of a handgun in the commission of a crime of violence under CR 4-203 should be placed.",2009-01-12,2002-09-09,True,Armed Robbery/Conspiracy
39.3586,-76.7041,18212,24L04621,24199116,24.0,Male,Black,2024-12-16 10:30:00+00:00,4000 CLARKS LN,Unknown Offense,4000 CLARKS LN,2 0705,ARMED ROBBERY,Northwest,628,Glen,"(39.3586,-76.7041)",,POINT (-76.7041 39.3586),-76.7041,39.3586,True,6706.0,11292.0,20705.0,,ARMED ROBBERY,ARMED ROBBERY,ARMED ROBBERY,2000-10-01,2002-09-30,27,488,,,Y,Y,Y,0.0,Y,20.0,616 1/2,"...did unlawfully and feloniously, with a dangerous and deadly weapon,  rob _________ (victim)and violently did steal from said person ________ (items taken).","NOTE:Weapon means any actual weapon or any instrument that the victim reasonably perceives to be a dangerous and deadly weapon, that could inflict death or grevious bodily harm.

If an actual handgun is involved, armed robbery and a separate charge of use of a handgun in the commission of a crime of violence under Art. 27, Sec. 36B(d) should be placed.",2014-04-07,2000-09-18,True,Armed Robbery/Conspiracy
39.3586,-76.7041,18212,24L04621,24199116,24.0,Male,Black,2024-12-16 10:30:00+00:00,4000 CLARKS LN,Unknown Offense,4000 CLARKS LN,2 0705,ARMED ROBBERY,Northwest,628,Glen,"(39.3586,-76.7041)",,POINT (-76.7041 39.3586),-76.7041,39.3586,True,7201.0,11827.0,20705.0,,ARMED ROBBERY,ARMED ROBBERY,ARMED ROBBERY,2002-10-01,,CR,3,403,,Y,Y,Y,0.0,Y,20.0,616 1/2,"...did unlawfully and feloniously, [with a dangerous weapon/by displaying a written instrument claiming that the person had a dangerous weapon], [rob/attempt to rob] _____(victim)and violently did [steal/attempt to steal] from said person ________ (item(s)).","NOTE:Weapon means any actual weapon or any instrument that the victim reasonably perceives to be a dangerous and deadly weapon, that could inflict death or grevious bodily harm.

If an actual handgun is involved, armed robbery and a separate charge of use of a handgun in the commission of a crime of violence under CR 4-203 should be placed.",2009-01-12,2002-09-09,True,Armed Robbery/Conspiracy
39.3343,-76.6058,24376,24L02509,24195391,61.0,Male,Black,2024-12-09 14:10:00+00:00,700 CHESTNUT HILL AVE,Unknown Offense,700 CHESTNUT HILL AVE,1 1202,COMMERCIAL ARMED ROBBERY,Northern,526,Waverly,"(39.3343,-76.6058)",,POINT (-76.6058 39.3343),-76.6058,39.3343,True,522.0,522.0,11202.0,,ARMED ROBBERY,ARMED ROBBERY,ARMED ROBBERY,1970-01-01,2000-09-30,CL,,,,Y,Y,Y,0.0,Y,20.0,616 1/2,"did unlawfully and feloniously, with a dangerous and deadly weapon, rob ______ (victim) and violently did steal from said  person _________ (items taken).","NOTE:  Weapon means any actual weapon or any instrument that the victim reasonably perceives to be a dangerous and deadly weapon, that could inflict death or greivous bodily harm. If an actual handgun is involved, armed robbery and a separate charge of use of a handgun in the commission of a crime of violence under Art. 27, Sec. 36B[d] should be placed.",2000-09-18,1998-11-10,True,Armed Robbery/Conspiracy
39.3093,-76.7085,28978,24L00980,24192698,57.0,Male,Black,2024-12-04 12:30:00+00:00,2000 FOREST PARK AVE,Unknown Offense,2000 FOREST PARK AVE,2 0705,ARMED ROBBERY,Northwest,611,Franklintown,"(39.3093,-76.7085)",,POINT (-76.7085 39.3093),-76.7085,39.3093,True,6706.0,11292.0,20705.0,,ARMED ROBBERY,ARMED ROBBERY,ARMED ROBBERY,2000-10-01,2002-09-30,27,488,,,Y,Y,Y,0.0,Y,20.0,616 1/2,"...did unlawfully and feloniously, with a dangerous and deadly weapon,  rob _________ (victim)and violently did steal from said person ________ (items taken).","NOTE:Weapon means any actual weapon or any instrument that the victim reasonably perceives to be a dangerous and deadly weapon, that could inflict death or grevious bodily harm.

If an actual handgun is involved, armed robbery and a separate charge of use of a handgun in the commission of a crime of violence under Art. 27, Sec. 36B(d) should be placed.",2014-04-07,2000-09-18,True,Armed Robbery/Conspiracy
39.3093,-76.7085,28978,24L00980,24192698,57.0,Male,Black,2024-12-04 12:30:00+00:00,2000 FOREST PARK AVE,Unknown Offense,2000 FOREST PARK AVE,2 0705,ARMED ROBBERY,Northwest,611,Franklintown,"(39.3093,-76.7085)",,POINT (-76.7085 39.3093),-76.7085,39.3093,True,7201.0,11827.0,20705.0,,ARMED ROBBERY,ARMED ROBBERY,ARMED ROBBERY,2002-10-01,,CR,3,403,,Y,Y,Y,0.0,Y,20.0,616 1/2,"...did unlawfully and feloniously, [with a dangerous weapon/by displaying a written instrument claiming that the person had a dangerous weapon], [rob/attempt to rob] _____(victim)and violently did [steal/attempt to steal] from said person ________ (item(s)).","NOTE:Weapon means any actual weapon or any instrument that the victim reasonably perceives to be a dangerous and deadly weapon, that could inflict death or grevious bodily harm.

If an actual handgun is involved, armed robbery and a separate charge of use of a handgun in the commission of a crime of violence under CR 4-203 should be placed.",2009-01-12,2002-09-09,True,Armed Robbery/Conspiracy
39.2905,-76.615,28994,24L00911,24192388,29.0,Male,Black,2024-12-04 10:07:00+00:00,100 CHARLES ST,Unknown Offense,100 CHARLES ST,2 0705,AGGRAVATED ASSAULT,Central,113,Downtown,"(39.2905,-76.615)",,POINT (-76.615 39.2905),-76.615,39.2905,True,6706.0,11292.0,20705.0,,ARMED ROBBERY,ARMED ROBBERY,ARMED ROBBERY,2000-10-01,2002-09-30,27,488,,,Y,Y,Y,0.0,Y,20.0,616 1/2,"...did unlawfully and feloniously, with a dangerous and deadly weapon,  rob _________ (victim)and violently did steal from said person ________ (items taken).","NOTE:Weapon means any actual weapon or any instrument that the victim reasonably perceives to be a dangerous and deadly weapon, that could inflict death or grevious bodily harm.

If an actual handgun is involved, armed robbery and a separate charge of use of a handgun in the commission of a crime of violence under Art. 27, Sec. 36B(d) should be placed.",2014-04-07,2000-09-18,True,Armed Robbery/Conspiracy
39.2905,-76.615,28994,24L00911,24192388,29.0,Male,Black,2024-12-04 10:07:00+00:00,100 CHARLES ST,Unknown Offense,100 CHARLES ST,2 0705,AGGRAVATED ASSAULT,Central,113,Downtown,"(39.2905,-76.615)",,POINT (-76.615 39.2905),-76.615,39.2905,True,7201.0,11827.0,20705.0,,ARMED ROBBERY,ARMED ROBBERY,ARMED ROBBERY,2002-10-01,,CR,3,403,,Y,Y,Y,0.0,Y,20.0,616 1/2,"...did unlawfully and feloniously, [with a dangerous weapon/by displaying a written instrument claiming that the person had a dangerous weapon], [rob/attempt to rob] _____(victim)and violently did [steal/attempt to steal] from said person ________ (item(s)).","NOTE:Weapon means any actual weapon or any instrument that the victim reasonably perceives to be a dangerous and deadly weapon, that could inflict death or grevious bodily harm.

If an actual handgun is involved, armed robbery and a separate charge of use of a handgun in the commission of a crime of violence under CR 4-203 should be placed.",2009-01-12,2002-09-09,True,Armed Robbery/Conspiracy
39.3559,-76.7015,35603,24K08540,24189761,40.0,Male,Black,2024-11-27 18:30:00+00:00,6400 REISTERSTOWN RD,Unknown Offense,6400 REISTERSTOWN RD,2 0705,ARMED ROBBERY,Northwest,622,Glen,"(39.3559,-76.7015)",,POINT (-76.7015 39.3559),-76.7015,39.3559,True,6706.0,11292.0,20705.0,,ARMED ROBBERY,ARMED ROBBERY,ARMED ROBBERY,2000-10-01,2002-09-30,27,488,,,Y,Y,Y,0.0,Y,20.0,616 1/2,"...did unlawfully and feloniously, with a dangerous and deadly weapon,  rob _________ (victim)and violently did steal from said person ________ (items taken).","NOTE:Weapon means any actual weapon or any instrument that the victim reasonably perceives to be a dangerous and deadly weapon, that could inflict death or grevious bodily harm.

If an actual handgun is involved, armed robbery and a separate charge of use of a handgun in the commission of a crime of violence under Art. 27, Sec. 36B(d) should be placed.",2014-04-07,2000-09-18,True,Armed Robbery/Conspiracy
39.3559,-76.7015,35603,24K08540,24189761,40.0,Male,Black,2024-11-27 18:30:00+00:00,6400 REISTERSTOWN RD,Unknown Offense,6400 REISTERSTOWN RD,2 0705,ARMED ROBBERY,Northwest,622,Glen,"(39.3559,-76.7015)",,POINT (-76.7015 39.3559),-76.7015,39.3559,True,7201.0,11827.0,20705.0,,ARMED ROBBERY,ARMED ROBBERY,ARMED ROBBERY,2002-10-01,,CR,3,403,,Y,Y,Y,0.0,Y,20.0,616 1/2,"...did unlawfully and feloniously, [with a dangerous weapon/by displaying a written instrument claiming that the person had a dangerous weapon], [rob/attempt to rob] _____(victim)and violently did [steal/attempt to steal] from said person ________ (item(s)).","NOTE:Weapon means any actual weapon or any instrument that the victim reasonably perceives to be a dangerous and deadly weapon, that could inflict death or grevious bodily harm.

If an actual handgun is involved, armed robbery and a separate charge of use of a handgun in the commission of a crime of violence under CR 4-203 should be placed.",2009-01-12,2002-09-09,True,Armed Robbery/Conspiracy
